Date,close,high,low,open,volume,ticker
2024-10-28,27.956409454345703,28.033904623304245,27.665801185028236,27.704549693322793,37922500,PFE
2024-10-29,27.568931579589844,28.25670281622496,27.15239620396161,28.101712479332928,102267000,PFE
2024-10-30,27.62705421447754,27.70454938256684,27.30738641515537,27.42362824347404,47104000,PFE
2024-10-31,27.4139404296875,27.74329534772308,27.40425515059572,27.559245482891228,37909600,PFE
2024-11-01,27.21051597595215,27.64642743492829,27.171767469540725,27.588304675311154,46894600,PFE
2024-11-04,26.89084815979004,27.258949732152093,26.861786780012583,27.220203073412627,41347800,PFE
2024-11-05,27.1136474609375,27.123334587863116,26.716484495139948,26.871474830688722,44175800,PFE
2024-11-06,26.503374099731445,27.113648334666838,26.232140079965383,27.055527418870753,65749500,PFE
2024-11-07,26.60024070739746,26.72617150926844,26.483998880041746,26.668050595590582,48484800,PFE
2024-11-08,26.285446166992188,26.708453283906262,26.27560857400244,26.669104788276282,55951300,PFE
2024-11-11,25.813251495361328,26.393656314488496,25.79357631049931,26.28544467407631,54329300,PFE
2024-11-12,25.764066696166992,26.0100008902372,25.527970095019075,25.803415191527147,53035200,PFE
2024-11-13,26.285446166992188,26.314958945961425,25.557481172711988,25.803415368468634,47983100,PFE
2024-11-14,25.596830368041992,26.413331785368165,25.41975745502421,26.305120143784205,45262200,PFE
2024-11-15,24.396671295166016,25.28203589466179,24.081875827047075,25.28203589466179,131074400,PFE
2024-11-18,24.45569610595703,24.839352836471328,24.298298376703528,24.563905872113228,64261300,PFE
2024-11-19,24.69179344177246,24.701631034687523,24.209762646908505,24.298299106815048,52381200,PFE
2024-11-20,24.534395217895508,24.691792948735614,24.24911065804222,24.662280170579734,46170800,PFE
2024-11-21,24.721303939819336,24.80984039827768,24.37699757506908,24.465534033527423,45048400,PFE
2024-11-22,25.232847213745117,25.331221263821867,24.691792752816422,24.77049161761203,41897000,PFE
2024-11-25,25.7443904876709,26.019837449566314,25.32138339046073,25.331220982992235,57707600,PFE
2024-11-26,25.35089683532715,25.813252438504282,25.193499103337956,25.734553572509686,33001000,PFE
2024-11-27,25.40991973876953,25.527968972316263,25.282034789062074,25.341058467670983,28242100,PFE
2024-11-29,25.78373908996582,25.803414275111628,25.350896274731667,25.409919953840156,22023000,PFE
2024-12-02,25.400083541870117,25.79357788143131,25.31154708092772,25.64601773863699,43866400,PFE
2024-12-03,25.144309997558594,25.47878063192924,25.104961504512634,25.409919361852147,49064300,PFE
2024-12-04,24.819677352905273,25.085286721451343,24.77049126672811,25.03610063527418,42541500,PFE
2024-12-05,25.28203582763672,25.370572287351575,24.731141883560046,24.819678343274905,43647900,PFE
2024-12-06,25.311546325683594,25.675529751622822,25.173823780028783,25.321383918420217,31830700,PFE
2024-12-09,25.67552947998047,26.010000124171192,25.163985921061844,25.34105883578975,37464800,PFE
2024-12-10,25.15414810180664,25.685366841204416,25.095124422872086,25.675529248660503,43280500,PFE
2024-12-11,24.819677352905273,25.09512431395256,24.760653674226894,24.967237487765676,39569400,PFE
2024-12-12,24.9574031829834,25.065612953958414,24.652443427186395,24.77049266754798,38705100,PFE
2024-12-13,25.163986206054688,25.242685071677393,24.849190743563863,24.92788960918657,29043600,PFE
2024-12-16,24.839353561401367,25.33122194875585,24.80984078268166,25.173824214908734,40194000,PFE
2024-12-17,26.00016212463379,26.02967302574063,25.439432487656855,25.47878098124228,71440300,PFE
2024-12-18,25.468944549560547,26.08869976965554,25.439433647108686,25.764066708382114,47575100,PFE
2024-12-19,25.35089683532715,25.665692299305537,25.16398632496662,25.282035562123,50324700,PFE
2024-12-20,25.93130111694336,26.059186067805797,25.28203501739482,25.28203501739482,116340100,PFE
2024-12-23,26.27560806274414,26.314958433937466,25.76406637153369,25.931301696447388,35350400,PFE
2024-12-24,26.30512046813965,26.334633246116162,25.950974637737286,26.15756033091498,19716400,PFE
2024-12-26,26.128047943115234,26.2854456753492,26.04934907699825,26.206746809232218,31406000,PFE
2024-12-27,26.18707275390625,26.413331753005565,25.99032465605446,26.000162248579944,35218300,PFE
2024-12-30,25.990325927734375,26.14772366318555,25.81325300626955,26.04934960944631,32859100,PFE
2024-12-31,26.09853744506836,26.216584807906887,25.931302117439614,25.97065061294279,27085500,PFE
2025-01-02,26.177236557006836,26.42317075426897,26.128048591756997,26.314959107048345,32899200,PFE
2025-01-03,26.157560348510742,26.403494536160274,26.088699076181502,26.265771991501797,33417000,PFE
2025-01-06,26.452680587768555,26.806826417935348,26.128047535558643,26.275607672685158,43951000,PFE
2025-01-07,26.688777923583984,27.121622630660276,26.501869286986786,26.570730561136173,35030000,PFE
